Datetime (UTC),Country,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source
2021-01-01,Estonia,EE,236.34,290.34,64.53,40.08,entsoe.eu
2021-01-02,Estonia,EE,278.44,333.54,60.28,37.84,entsoe.eu
2021-01-03,Estonia,EE,259.36,314.01,62.12,39.38,entsoe.eu
2021-01-04,Estonia,EE,356.07,410.65,49.19,30.82,entsoe.eu
2021-01-05,Estonia,EE,382.41,431.06,45.09,28.4,entsoe.eu
2021-01-06,Estonia,EE,370.9,422.11,47.5,30.62,entsoe.eu
2021-01-07,Estonia,EE,496.44,539.77,30.57,19.53,entsoe.eu
2021-01-08,Estonia,EE,562.74,610.11,24.24,15.56,entsoe.eu
2021-01-09,Estonia,EE,464.17,516.25,35.79,23.35,entsoe.eu
2021-01-10,Estonia,EE,353.07,410.64,51.23,36.17,entsoe.eu
2021-01-11,Estonia,EE,339.3,397.49,54.16,39.35,entsoe.eu
2021-01-12,Estonia,EE,354.22,409.57,53.79,41.37,entsoe.eu
2021-01-13,Estonia,EE,384.95,439.71,49.39,35.53,entsoe.eu
2021-01-14,Estonia,EE,551.68,601.05,25.27,19.44,entsoe.eu
2021-01-15,Estonia,EE,564.03,614.55,23.26,17.61,entsoe.eu
2021-01-16,Estonia,EE,510.96,561.82,28.67,19.16,entsoe.eu
2021-01-17,Estonia,EE,420.02,481.39,43.89,29.04,entsoe.eu
2021-01-18,Estonia,EE,450.22,510.53,39.3,27.15,entsoe.eu
2021-01-19,Estonia,EE,421.43,480.75,42.44,30.32,entsoe.eu
2021-01-20,Estonia,EE,368.47,426.36,51.57,36.91,entsoe.eu
2021-01-21,Estonia,EE,320.32,375.24,56.79,41.18,entsoe.eu
2021-01-22,Estonia,EE,311.92,366.29,57.21,43.02,entsoe.eu
2021-01-23,Estonia,EE,310.4,363.22,56.28,40.54,entsoe.eu
2021-01-24,Estonia,EE,422.8,477.02,41.04,27.52,entsoe.eu
2021-01-25,Estonia,EE,436.71,498.84,42.32,31.78,entsoe.eu
2021-01-26,Estonia,EE,491.79,552.45,32.9,24.48,entsoe.eu
2021-01-27,Estonia,EE,462.23,523.72,37.69,26.46,entsoe.eu
2021-01-28,Estonia,EE,489.45,550.77,33.37,23.37,entsoe.eu
2021-01-29,Estonia,EE,444.99,507.66,41.15,30.86,entsoe.eu
2021-01-30,Estonia,EE,458.27,511.08,38.74,27.02,entsoe.eu
2021-01-31,Estonia,EE,492.24,544.84,33.87,23.01,entsoe.eu
2021-02-01,Estonia,EE,619.48,674.0,20.09,15.74,entsoe.eu
2021-02-02,Estonia,EE,587.7,634.84,22.85,15.92,Electricity Maps Estimation; entsoe.eu
2021-02-03,Estonia,EE,444.54,493.64,39.82,26.73,entsoe.eu
2021-02-04,Estonia,EE,466.79,509.56,35.35,24.03,entsoe.eu
2021-02-05,Estonia,EE,558.78,606.85,27.27,19.72,entsoe.eu
2021-02-06,Estonia,EE,414.96,462.56,43.62,29.48,entsoe.eu
2021-02-07,Estonia,EE,416.01,459.46,42.07,26.66,entsoe.eu
2021-02-08,Estonia,EE,464.97,515.17,36.09,24.01,entsoe.eu
2021-02-09,Estonia,EE,552.67,608.65,27.44,21.29,entsoe.eu
2021-02-10,Estonia,EE,608.57,662.26,21.11,16.07,entsoe.eu
2021-02-11,Estonia,EE,627.01,678.83,18.15,13.58,entsoe.eu
2021-02-12,Estonia,EE,570.59,626.36,25.99,18.13,entsoe.eu
2021-02-13,Estonia,EE,385.1,439.09,47.24,32.36,entsoe.eu
2021-02-14,Estonia,EE,406.73,450.33,42.5,27.3,entsoe.eu
2021-02-15,Estonia,EE,413.59,471.81,45.11,32.26,entsoe.eu
2021-02-16,Estonia,EE,372.54,432.27,50.32,36.81,entsoe.eu
2021-02-17,Estonia,EE,568.25,629.69,25.82,19.86,entsoe.eu
2021-02-18,Estonia,EE,515.59,578.16,31.25,23.98,entsoe.eu
2021-02-19,Estonia,EE,417.64,478.45,43.38,31.48,entsoe.eu
2021-02-20,Estonia,EE,354.95,414.61,52.79,36.06,entsoe.eu
2021-02-21,Estonia,EE,351.17,409.06,52.65,35.18,entsoe.eu
2021-02-22,Estonia,EE,384.55,443.53,48.66,33.18,entsoe.eu
2021-02-23,Estonia,EE,355.72,412.26,52.33,36.38,entsoe.eu
2021-02-24,Estonia,EE,345.97,403.12,53.86,38.25,entsoe.eu
2021-02-25,Estonia,EE,296.38,351.04,59.76,43.11,entsoe.eu
2021-02-26,Estonia,EE,268.17,321.4,62.48,46.15,entsoe.eu
2021-02-27,Estonia,EE,273.06,326.32,61.43,43.15,entsoe.eu
2021-02-28,Estonia,EE,233.46,285.14,66.18,45.18,entsoe.eu
2021-03-01,Estonia,EE,216.39,270.89,69.59,51.38,entsoe.eu
2021-03-02,Estonia,EE,167.75,221.77,74.96,56.07,entsoe.eu
2021-03-03,Estonia,EE,220.05,274.69,68.63,50.54,entsoe.eu
2021-03-04,Estonia,EE,247.82,304.48,64.51,47.0,entsoe.eu
2021-03-05,Estonia,EE,268.03,325.4,61.57,42.35,entsoe.eu
2021-03-06,Estonia,EE,166.55,208.19,73.5,52.62,entsoe.eu
2021-03-07,Estonia,EE,176.52,218.68,71.15,51.12,entsoe.eu
2021-03-08,Estonia,EE,330.75,378.74,50.84,33.45,entsoe.eu
2021-03-09,Estonia,EE,366.84,423.14,49.3,34.92,entsoe.eu
2021-03-10,Estonia,EE,387.93,440.95,46.16,36.35,entsoe.eu
2021-03-11,Estonia,EE,260.76,307.01,61.21,45.83,entsoe.eu
2021-03-12,Estonia,EE,289.21,331.87,56.54,40.76,entsoe.eu
2021-03-13,Estonia,EE,271.01,298.5,54.03,33.81,entsoe.eu
2021-03-14,Estonia,EE,264.75,296.5,55.81,32.71,entsoe.eu
2021-03-15,Estonia,EE,252.92,310.88,62.78,41.89,entsoe.eu
2021-03-16,Estonia,EE,263.56,325.32,61.27,40.19,entsoe.eu
2021-03-17,Estonia,EE,263.37,323.04,60.9,40.49,entsoe.eu
2021-03-18,Estonia,EE,286.61,344.9,59.4,41.51,entsoe.eu
2021-03-19,Estonia,EE,349.08,407.59,51.53,37.71,entsoe.eu
2021-03-20,Estonia,EE,234.75,271.6,63.11,43.68,entsoe.eu
2021-03-21,Estonia,EE,229.89,267.87,64.09,46.22,entsoe.eu
2021-03-22,Estonia,EE,290.26,343.39,58.55,40.12,entsoe.eu
2021-03-23,Estonia,EE,285.25,337.24,59.46,41.27,entsoe.eu
2021-03-24,Estonia,EE,214.83,261.62,68.47,50.53,entsoe.eu
2021-03-25,Estonia,EE,278.21,330.44,60.4,41.36,entsoe.eu
2021-03-26,Estonia,EE,232.33,284.79,64.98,42.81,entsoe.eu
2021-03-27,Estonia,EE,176.78,213.24,69.41,45.0,entsoe.eu
2021-03-28,Estonia,EE,205.92,236.78,63.66,44.06,entsoe.eu
2021-03-29,Estonia,EE,105.47,153.35,81.81,61.35,entsoe.eu
2021-03-30,Estonia,EE,103.36,153.95,82.89,59.72,entsoe.eu
2021-03-31,Estonia,EE,219.92,276.09,68.97,48.09,entsoe.eu
2021-04-01,Estonia,EE,199.3,255.08,70.73,49.66,entsoe.eu
2021-04-02,Estonia,EE,150.95,205.97,76.36,50.5,entsoe.eu
2021-04-03,Estonia,EE,152.22,202.68,77.16,51.85,entsoe.eu
2021-04-04,Estonia,EE,109.94,158.95,82.81,60.85,entsoe.eu
2021-04-05,Estonia,EE,142.5,179.11,75.54,58.2,entsoe.eu
2021-04-06,Estonia,EE,118.53,165.87,80.25,60.39,entsoe.eu
2021-04-07,Estonia,EE,277.6,334.21,60.64,43.89,entsoe.eu
2021-04-08,Estonia,EE,243.26,301.64,65.7,46.8,entsoe.eu
2021-04-09,Estonia,EE,111.37,152.9,81.54,62.36,entsoe.eu
2021-04-10,Estonia,EE,125.95,171.08,80.63,58.15,entsoe.eu
2021-04-11,Estonia,EE,148.07,196.83,76.91,53.54,entsoe.eu
2021-04-12,Estonia,EE,216.38,262.53,67.89,48.5,entsoe.eu
2021-04-13,Estonia,EE,285.49,340.92,59.86,39.0,entsoe.eu
2021-04-14,Estonia,EE,327.29,384.25,54.51,37.25,entsoe.eu
2021-04-15,Estonia,EE,336.06,386.66,52.4,38.56,entsoe.eu
