MTU,Out Area,In Area,Physical Flow (MW)
01/01/2021,EE,LV,4883.8
01/01/2021,LT,LV,3856.5
01/01/2021,LV,EE,0.0
01/01/2021,LV,LT,799.5
01/01/2022,EE,LV,3989.3
01/01/2022,LT,LV,7138.5
01/01/2022,LV,EE,138.54999999999998
01/01/2022,LV,LT,1.5
01/01/2023,EE,LV,4397.65
01/01/2023,LT,LV,1440.5
01/01/2023,LV,EE,29.6
01/01/2023,LV,LT,2680.0
01/01/2024,EE,LV,0.0
01/01/2024,LT,LV,11073.5
01/01/2024,LV,EE,14339.6
01/01/2024,LV,LT,0.0
01/02/2021,EE,LV,1913.85
01/02/2021,LT,LV,587.5
01/02/2021,LV,EE,643.9
01/02/2021,LV,LT,7190.5
01/02/2022,EE,LV,2426.05
01/02/2022,LT,LV,3205.0
01/02/2022,LV,EE,259.1
01/02/2022,LV,LT,280.0
01/02/2023,EE,LV,445.15
01/02/2023,LT,LV,388.0
01/02/2023,LV,EE,1621.6
01/02/2023,LV,LT,4612.0
01/02/2024,EE,LV,0.0
01/02/2024,LT,LV,2811.5
01/02/2024,LV,EE,6001.65
01/02/2024,LV,LT,0.0
01/03/2021,EE,LV,7685.6
01/03/2021,LT,LV,0.0
01/03/2021,LV,EE,0.0
01/03/2021,LV,LT,9805.5
01/03/2022,EE,LV,11763.9
01/03/2022,LT,LV,0.0
01/03/2022,LV,EE,0.0
01/03/2022,LV,LT,14447.0
01/03/2023,EE,LV,8933.8
01/03/2023,LT,LV,0.0
01/03/2023,LV,EE,0.0
01/03/2023,LV,LT,17554.5
01/03/2024,EE,LV,0.0
01/03/2024,LT,LV,17.5
01/03/2024,LV,EE,11126.05
01/03/2024,LV,LT,5777.0
01/04/2021,EE,LV,6133.45
01/04/2021,LT,LV,0.0
01/04/2021,LV,EE,0.0
01/04/2021,LV,LT,10805.5
01/04/2022,EE,LV,5062.75
01/04/2022,LT,LV,1544.0
01/04/2022,LV,EE,23.85
01/04/2022,LV,LT,2464.5
01/04/2023,EE,LV,1680.1
01/04/2023,LT,LV,0.0
01/04/2023,LV,EE,2.4
01/04/2023,LV,LT,21896.5
01/04/2024,EE,LV,0.0
01/04/2024,LT,LV,282.0
01/04/2024,LV,EE,5291.65
01/04/2024,LV,LT,5188.5
01/05/2021,EE,LV,9501.5
01/05/2021,LT,LV,0.0
01/05/2021,LV,EE,0.0
01/05/2021,LV,LT,10409.0
01/05/2022,EE,LV,8153.15
01/05/2022,LT,LV,0.0
01/05/2022,LV,EE,0.0
01/05/2022,LV,LT,12471.5
01/05/2023,EE,LV,7336.150000000001
01/05/2023,LT,LV,0.0
01/05/2023,LV,EE,94.75
01/05/2023,LV,LT,12084.5
01/05/2024,EE,LV,0.0
01/05/2024,LT,LV,983.5
01/05/2024,LV,EE,7274.2
01/05/2024,LV,LT,4608.0
01/06/2021,EE,LV,11458.05
01/06/2021,LT,LV,0.0
01/06/2021,LV,EE,0.0
01/06/2021,LV,LT,9075.0
01/06/2022,EE,LV,16411.5
01/06/2022,LT,LV,0.0
01/06/2022,LV,EE,0.0
01/06/2022,LV,LT,9216.0
01/06/2023,EE,LV,12092.95
01/06/2023,LT,LV,222.0
01/06/2023,LV,EE,0.0
01/06/2023,LV,LT,1500.0
01/06/2024,EE,LV,2464.1
01/06/2024,LT,LV,5444.5
01/06/2024,LV,EE,25.6
01/06/2024,LV,LT,22.0
01/07/2021,EE,LV,5225.1
01/07/2021,LT,LV,5169.0
01/07/2021,LV,EE,0.0
01/07/2021,LV,LT,597.5
01/07/2022,EE,LV,12616.75
01/07/2022,LT,LV,80.5
01/07/2022,LV,EE,0.0
01/07/2022,LV,LT,3623.0
01/07/2023,EE,LV,10047.1
01/07/2023,LT,LV,304.0
01/07/2023,LV,EE,0.0
01/07/2023,LV,LT,2083.5
01/07/2024,EE,LV,3665.9
01/07/2024,LT,LV,5586.5
01/07/2024,LV,EE,0.5
01/07/2024,LV,LT,205.0
01/08/2021,EE,LV,12754.1
01/08/2021,LT,LV,287.5
01/08/2021,LV,EE,0.0
01/08/2021,LV,LT,1676.5
01/08/2022,EE,LV,12753.7
01/08/2022,LT,LV,125.5
01/08/2022,LV,EE,0.0
01/08/2022,LV,LT,4796.0
01/08/2023,EE,LV,9892.55
01/08/2023,LT,LV,1070.0
01/08/2023,LV,EE,0.0
01/08/2023,LV,LT,1257.5
01/08/2024,EE,LV,5711.0
01/08/2024,LT,LV,4182.0
01/08/2024,LV,EE,0.0
01/08/2024,LV,LT,36.5
01/09/2021,EE,LV,17630.65
01/09/2021,LT,LV,0.0
01/09/2021,LV,EE,0.0
01/09/2021,LV,LT,5918.5
01/09/2022,EE,LV,14342.05
01/09/2022,LT,LV,0.0
01/09/2022,LV,EE,0.0
01/09/2022,LV,LT,13881.0
01/09/2023,EE,LV,4395.4
01/09/2023,LT,LV,5236.0
01/09/2023,LV,EE,0.0
01/09/2023,LV,LT,871.0
01/09/2024,EE,LV,3997.3
01/09/2024,LT,LV,1461.5
01/09/2024,LV,EE,13.65
01/09/2024,LV,LT,539.0
01/10/2021,EE,LV,14750.05
01/10/2021,LT,LV,715.5
01/10/2021,LV,EE,0.0
01/10/2021,LV,LT,2987.5
01/10/2022,EE,LV,17458.2
01/10/2022,LT,LV,0.0
01/10/2022,LV,EE,0.0
01/10/2022,LV,LT,7571.0
01/10/2023,EE,LV,7707.55
01/10/2023,LT,LV,3623.0
01/10/2023,LV,EE,0.0
01/10/2023,LV,LT,6.0
01/10/2024,EE,LV,9285.6
01/10/2024,LT,LV,957.5
01/10/2024,LV,EE,0.0
01/10/2024,LV,LT,1839.0
01/11/2021,EE,LV,5566.15
01/11/2021,LT,LV,7083.5
01/11/2021,LV,EE,47.7
01/11/2021,LV,LT,114.0
01/11/2022,EE,LV,6716.5
01/11/2022,LT,LV,4058.5
01/11/2022,LV,EE,20.0
01/11/2022,LV,LT,1116.0
01/11/2023,EE,LV,5357.45
01/11/2023,LT,LV,4205.5
01/11/2023,LV,EE,42.9
01/11/2023,LV,LT,2679.5
01/11/2024,EE,LV,2686.55
01/11/2024,LT,LV,15150.5
